tweet_id,retweet_count,favorite_count
892420643555336193,8035,37356
892177421306343426,5967,32110
891815181378084864,3946,24213
891689557279858688,8194,40654
891327558926688256,8886,38877
891087950875897856,2956,19547
890971913173991426,1951,11413
890729181411237888,17915,62972
890609185150312448,4055,26878
890240255349198849,6985,30811
890006608113172480,6950,29625
889880896479866881,4731,26881
889665388333682689,9511,46441
889638837579907072,4274,26166
889531135344209921,2140,14603
889278841981685760,5088,24368
888917238123831296,4265,28128
888804989199671297,4041,24692
888554962724278272,3342,19129
888078434458587136,3296,21016
887705289381826560,5108,29139
887517139158093824,11120,44711
887473957103951883,17159,66491
887343217045368832,9905,32504
887101392804085760,5660,29531
886983233522544640,7307,33875
886736880519319552,3076,11599
886680336477933568,4225,21662
886366144734445568,3025,20429
886267009285017600,4,116
886258384151887873,5985,27020
886054160059072513,104,0
885984800019947520,6418,31478
885528943205470208,6098,34721
885518971528720385,3541,19745
885311592912609280,17586,0
885167619883638784,4157,21165
884925521741709313,17240,74666
884876753390489601,5315,26930
884562892145688576,4460,23456
884441805382717440,5391,26102
884247878851493888,19399,70364
884162670584377345,2836,19663
883838122936631299,3276,21118
883482846933004288,9404,44329
883360690899218434,3524,21913
883117836046086144,6317,35881
882992080364220416,3720,23092
882762694511734784,4648,27314
882627270321602560,5768,26974
882268110199369728,11003,43372
882045870035918850,4662,28310
881906580714921986,3234,23479
881666595344535552,10140,48894
881633300179243008,7,123
881536004380872706,15171,47726
881268444196462592,4960,22369
880935762899988482,2657,16472
880872448815771648,3632,20560
880465832366813184,5933,27546
880221127280381952,4008,26092
880095782870896641,4125,26697
879862464715927552,3324,21587
879674319642796034,10,301
879492040517615616,3020,22668
879415818425184262,42196,102291
879376492567855104,2962,16248
879130579576475649,6475,0
879050749262655488,4464,21776
879008229531029506,2560,18336
878776093423087618,3920,18749
878604707211726852,6810,29202
878404777348136964,1229,0
878316110768087041,6350,0
878281511006478336,1229,7480
878057613040115712,6475,40661
877736472329191424,18136,76992
877611172832227328,77,0
877556246731214848,3638,21968
877316821321428993,4941,26500
877201837425926144,5323,26217
876838120628539392,3185,20031
876537666061221889,4443,22802
876484053909872640,2282,18167
876120275196170240,4461,27040
